insert,0,5349666.666667,9620515.018554,0.000000
lookup,0,29983.333333,9276.298951,0.000000
insert,4,6476166.666667,11685188.650833,0.000000
lookup,4,18133.333333,6461.338011,0.000000
insert,8,6270333.333333,11793035.849838,0.000000
lookup,8,18933.333333,4061.472092,0.000000
insert,12,6583833.333333,11718179.528929,0.000000
lookup,12,18416.666667,4294.537875,0.000000
insert,16,6504166.666667,12298774.239962,0.000000
lookup,16,20266.666667,8045.426582,0.000000
insert,20,6638666.666667,12518298.894907,0.000000
lookup,20,19533.333333,5417.461480,0.000000
insert,24,6006833.333333,11223436.482300,0.000000
lookup,24,20600.000000,5630.867310,0.000000
insert,28,6404500.000000,11221645.077706,0.000000
lookup,28,20683.333333,5863.706640,0.000000
insert,32,5862833.333333,10802582.691447,0.000000
lookup,32,20400.000000,5099.673192,0.000000
