insert,0,6479333.333333,11701810.410739,0.000000
lookup,0,10000.000000,5972.157622,0.000000
insert,4,6271500.000000,10925263.944180,0.000000
lookup,4,4883.333333,1984.033490,0.000000
insert,8,5788500.000000,10446456.285108,0.000000
lookup,8,7450.000000,18628.316260,0.000000
insert,12,6138000.000000,10742512.493205,0.000000
lookup,12,5966.666667,2442.448680,0.000000
insert,16,6241833.333333,11303803.392615,0.000000
lookup,16,4866.666667,1637.749133,0.000000
insert,20,5696666.666667,9827277.660788,0.000000
lookup,20,5650.000000,2488.808282,0.000000
insert,24,5400000.000000,9795291.266726,0.000000
lookup,24,5400.000000,1933.907961,0.000000
insert,28,5989500.000000,10983109.255428,0.000000
lookup,28,5800.000000,1739.731780,0.000000
insert,32,5573666.666667,10238393.179053,0.000000
lookup,32,7250.000000,7978.356138,0.000000
