insert,0,171805.611815,35616437.317546,0.000000
lookup,0,129565.559425,31835567.891443,0.000009
insert,4,306161.825998,50352908.964117,0.000000
lookup,4,124818.569710,31835537.525376,0.000009
insert,8,295443.501564,50335923.738477,0.000000
lookup,8,179004.949875,38990284.947916,0.000009
insert,12,12894.738629,9684.342411,0.000000
lookup,12,93699.545993,27570432.613557,0.000009
insert,16,14249.742180,144370.629815,0.000000
lookup,16,36966.939577,15917842.698116,0.000009
insert,20,18182.668966,863207.804783,0.000000
lookup,20,92953.693778,27570428.653742,0.000009
insert,24,163140.991445,35620130.284708,0.000000
lookup,24,36493.083909,15917840.930438,0.000009
insert,28,162120.939267,35616537.331654,0.000000
lookup,28,92651.559366,27570440.229094,0.000009
insert,32,18461.095580,954139.001939,0.000000
lookup,32,120698.239095,31835525.326295,0.000009
