insert,0,488187.457911,61662419.000362,0.000000
lookup,0,2347603.209212,137838735.485604,0.981719
insert,4,19408.935998,1287012.025747,0.000000
lookup,4,3902.923433,1832.099485,0.981538
insert,8,300557.966185,50352425.270071,0.000000
lookup,8,116753.236233,31835527.579455,0.981544
insert,12,159725.210476,35616430.212435,0.000000
lookup,12,60677.751658,22511190.148425,0.981438
insert,16,18936.101273,1290238.393983,0.000000
lookup,16,32863.673183,15917840.191210,0.981503
insert,20,18978.578829,1291663.794432,0.000000
lookup,20,33158.259885,15917840.327586,0.981478
insert,24,160022.007961,35616461.871375,0.000000
lookup,24,5505.019144,1288.163164,0.981303
insert,28,160019.916495,35616451.897900,0.000000
lookup,28,5714.250519,1310.306483,0.981441
insert,32,300282.355590,50351424.166344,0.000000
lookup,32,6060.848411,1382.354154,0.981388
