insert,0,315592.600522,50335901.119693,0.000000
lookup,0,29575617.624005,488357205.523883,0.000000
insert,4,291908.610454,50335916.289991,0.000000
lookup,4,939894.771240,85716536.881024,0.000000
insert,8,10462.900572,736.499454,0.000000
lookup,8,1812159.300200,121216118.198142,0.000000
insert,12,9576.752393,2980.675556,0.000000
lookup,12,2290023.450698,135987683.128592,0.000000
insert,16,151400.477556,35593145.630319,0.000000
lookup,16,3108850.104924,159155088.526329,0.000000
insert,20,10771.162162,1406.657736,0.000000
lookup,20,3412355.376307,166160356.016763,0.000000
insert,24,10643.165760,815.303408,0.000000
lookup,24,4032373.383465,180757088.152737,0.000000
insert,28,9252.730684,3918.288541,0.000000
lookup,28,4848220.304286,198767440.427864,0.000000
insert,32,151614.754411,35593145.369225,0.000000
lookup,32,5382820.659125,209313010.839213,0.000000
