insert,0,15616.808543,1085.063963,0.000000
lookup,0,9499584.943835,276949071.814560,0.000000
insert,4,12727.940034,4071.941602,0.000000
lookup,4,15513857.014052,354233776.093129,0.000000
insert,8,153725.554805,35593151.467574,0.000000
lookup,8,15487028.777071,353876981.921993,0.000000
insert,12,153208.894832,35593153.568470,0.000000
lookup,12,15101624.402434,348843892.824234,0.000000
insert,16,295600.850100,50335916.406843,0.000000
lookup,16,15463733.798980,353518656.279913,0.000000
insert,20,295698.957911,50335916.467072,0.000000
lookup,20,15752340.439027,357073179.321817,0.000000
insert,24,295617.884259,50335918.400142,0.000000
lookup,24,15824418.477158,358133669.817407,0.000000
