insert,0,166789.885245,35616720.879268,0.000000
lookup,0,1418115.974321,107955149.792413,0.000009
insert,4,161752.462181,35615983.536288,0.000000
lookup,4,413899.773020,55140350.080222,0.000009
insert,8,19573.263310,1281847.629042,0.000000
lookup,8,513007.824753,63670871.053364,0.000009
insert,12,160056.655280,35616365.345064,0.000000
lookup,12,734380.727790,77980484.164707,0.000009
insert,16,10581.231810,17887.871265,0.000000
lookup,16,589842.642896,69385354.216618,0.000009
insert,20,159827.047376,35617149.184646,0.000000
lookup,20,647780.225676,72944066.658700,0.000009
insert,24,18725.424393,1307587.423979,0.000000
lookup,24,477499.018215,61648263.143225,0.000009
insert,28,300151.725882,50352149.198219,0.000000
lookup,28,337478.384456,50336957.306459,0.000009
insert,32,300263.274462,50352394.455101,0.000000
lookup,32,535322.305928,65630023.720559,0.000009
